,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
555,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,04/27/1998,1998
556,M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,05/29/2007,2007
557,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
558,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/15/1994,1994
559,M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Fire/Rescue Lieutenant,02/08/1999,1999
560,F,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,10/10/2012,2012
561,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
562,F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,03/28/1988,1988
563,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,06/25/1979,1979
564,F,DPS,Department of Permitting Services,Land Development Well and Septic,Fulltime-Regular,Environmental Health Specialist III,09/04/2001,2001
565,M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Master Firefighter/Rescuer,02/29/1988,1988
566,M,DPS,Department of Permitting Services,Zoning,Fulltime-Regular,Manager III,09/10/2001,2001
567,M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer III (Corporal),07/23/2007,2007
568,M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Services Assistant,01/28/2013,2013
569,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),09/05/2000,2000
570,F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Sergeant,09/12/1988,1988
571,M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Arborist,09/08/2015,2015
572,M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,08/08/2016,2016
573,F,REC,Department of Recreation,Northern Region Area I,Fulltime-Regular,Recreation Supervisor,06/08/1997,1997
574,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Captain,07/09/1984,1984
575,F,REC,Department of Recreation,Automation,Fulltime-Regular,Senior Information Technology Specialist,11/13/1984,1984
576,F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/17/2000,2000
577,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,12/22/2014,2014
578,M,POL,Department of Police,PSB 1st District Community Action Team,Fulltime-Regular,Police Officer III,06/13/1994,1994
579,M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,07/21/2003,2003
580,F,LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Assistant I,05/01/2012,2012
581,M,FRS,Fire and Rescue Services,Behavioral Health,Fulltime-Regular,Psychologist,12/10/2001,2001
582,M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001
583,F,POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Administrative Specialist II,06/29/1998,1998
584,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),09/29/2008,2008
585,F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
586,F,DOT,Department of Transportation,Traffic Engineering and Operations Management Services,Fulltime-Regular,Administrative Specialist III,08/27/2012,2012
587,F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Parttime-Regular,Client Assistance Specialist,02/14/2011,2011
588,M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
589,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,09/09/2002,2002
590,F,COR,Correction and Rehabilitation,MSD Management Services Division,Fulltime-Regular,Manager II,04/18/2005,2005
591,F,OMB,Office of Management and Budget,Capital Budget Management,Fulltime-Regular,Manager II,11/30/1998,1998
592,F,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Therapist I,04/21/1997,1997
593,M,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Therapist II,01/07/2008,2008
594,F,HCA,Department of Housing and Community Affairs,Multi-Family Housing Program,Fulltime-Regular,Office Services Coordinator,10/17/1988,1988
595,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,05/02/2016,2016
596,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/22/2016,2016
597,M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
598,F,ZAH,Office of Zoning and Administrative Hearings,Zoning and Administrative Hearings,Fulltime-Regular,Administrative Specialist II,10/16/2006,2006
599,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/19/2008,2008
600,M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,03/28/2003,2003
601,M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Manager II,02/19/2008,2008
602,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/04/1999,1999
603,M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,07/09/2007,2007
604,F,LIB,Department of Public Libraries,Kensington Park Library,Parttime-Regular,Library Assistant I,05/18/2007,2007
605,F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Principal Administrative Aide,09/27/1993,1993
606,F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Associate II,01/12/1998,1998
607,F,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,06/30/2013,2013
608,F,FIN,Department of Finance,Accounts Payable,Fulltime-Regular,Fiscal Assistant,11/24/2008,2008
609,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,07/30/2013,2013
610,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/03/2009,2009
611,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/26/2012,2012
612,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Social Worker III,01/05/2009,2009
613,M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,06/06/1994,1994
614,M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,03/27/2006,2006
615,F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,07/18/1994,1994
616,M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,10/12/1986,1986
617,M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,04/21/2014,2014
618,M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Public Service Craftsworker I,10/20/2003,2003
619,M,SHF,Sheriff's Office,Evictions,Fulltime-Regular,Deputy Sheriff Sergeant,09/18/1995,1995
620,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,04/17/2000,2000
621,F,LIB,Department of Public Libraries,Davis Library,Parttime-Regular,Library Aide,07/12/2011,2011
622,F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Fiscal Assistant,11/26/2001,2001
623,M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Fire/Rescue Captain,02/08/1999,1999
624,M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Assistant Supervisor,04/17/1978,1978
625,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/26/2012,2012
626,M,DOT,Department of Transportation,Parking Management Engineering and Capital Project Management,Fulltime-Regular,Program Specialist I,12/15/2003,2003
627,F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Assistant Chief Administrative Officer,06/25/1990,1990
628,M,DPS,Department of Permitting Services,Zoning,Fulltime-Regular,Permitting Services Specialist II,01/06/1982,1982
629,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/27/2012,2012
630,F,FRS,Fire and Rescue Services,Volunteer and Community Services Division,Fulltime-Regular,Administrative Specialist II,03/15/1999,1999
631,F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Executive Administrative Aide,11/15/1999,1999
632,F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Therapist II,05/06/2013,2013
633,M,FRS,Fire and Rescue Services,Station 5,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007
634,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,11/30/2015,2015
635,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/27/2012,2012
636,F,LIB,Department of Public Libraries,Chevy Chase Library,Parttime-Regular,Library Associate,08/05/2011,2011
637,M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Fire/Rescue Captain,11/16/1992,1992
638,F,HHS,Department of Health and Human Services,Budget Team,Fulltime-Regular,Management and Budget Specialist III,03/12/2001,2001
639,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,09/06/2016,2016
640,M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012
641,F,DPS,Department of Permitting Services,Land Development Well and Septic,Fulltime-Regular,Senior Permitting Services Specialist,01/13/2014,2014
642,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,09/07/1999,1999
643,F,OHR,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Human Resources Specialist I,03/15/2005,2005
644,F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector II,05/19/2006,2006
645,F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,02/26/2001,2001
646,F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,"Special Projects Manager, Office of the CAO",01/23/1989,1989
647,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/08/2013,2013
648,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/08/2013,2013
649,M,HHS,Department of Health and Human Services,TB and Refugee Health,Fulltime-Regular,Radiologic Technologist,11/26/2007,2007
650,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/02/1989,1989
651,M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Master Firefighter/Rescuer,09/27/1987,1987
652,F,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Manager III,11/14/1974,1974
653,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/09/2015,2015
654,F,HHS,Department of Health and Human Services,Ombudsman Services,Fulltime-Regular,Program Manager II,03/12/1980,1980
655,M,HHS,Department of Health and Human Services,Treatment Services Admin,Fulltime-Regular,Manager II,03/18/1985,1985
656,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016
657,M,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Information Technology Specialist III,05/05/2014,2014
658,M,POL,Department of Police,PSB 6th District Community Action Team,Fulltime-Regular,Master Police Officer,01/18/1994,1994
659,F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Manager II,02/21/1978,1978
660,F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),08/23/2004,2004
661,F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),04/27/1997,1997
662,M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Program Manager II,09/06/1988,1988
663,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,01/13/2014,2014
664,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,01/12/2004,2004
665,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/09/2012,2012
666,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/17/1990,1990
667,M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer III,08/14/1989,1989
668,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Arborist,04/04/2016,2016
669,M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Fire/Rescue Lieutenant,09/11/2000,2000
670,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,08/19/1996,1996
671,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,03/12/2013,2013
672,M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Council President,12/04/2006,2006
673,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,04/29/2002,2002
674,M,DOT,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Public Service Worker III,10/02/2005,2005
675,F,HHS,Department of Health and Human Services,Care Coordination,Fulltime-Regular,Office Services Coordinator,09/17/1984,1984
676,M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector II,07/11/2016,2016
677,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,11/22/2010,2010
678,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/04/2003,2003
679,F,DTS,Department of Technology Services,EASD Geographic Information System,Fulltime-Regular,Senior Information Technology Specialist,05/05/1997,1997
680,M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,10/09/2006,2006
681,F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,01/08/2001,2001
682,M,DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Program Manager I,11/04/2013,2013
683,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/09/2000,2000
684,M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Police Officer III,09/29/1997,1997
685,F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,07/23/2007,2007
686,M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),08/14/2000,2000
687,F,REC,Department of Recreation,Special Programs,Fulltime-Regular,Administrative Specialist III,02/20/2007,2007
688,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Public Service Craftsworker,02/22/2004,2004
689,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/17/2001,2001
690,M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer I (Private),09/06/2016,2016
691,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
692,M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012
693,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Manager III,03/27/1989,1989
694,M,FRS,Fire and Rescue Services,Scheduling,Fulltime-Regular,Master Firefighter/Rescuer,11/16/1992,1992
695,M,CCL,County Council,Council Central Staff,Fulltime-Regular,Information Technology Specialist II,03/11/2013,2013
696,F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,02/06/1995,1995
697,M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,01/16/2007,2007
698,F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Mail Clerk,10/08/2012,2012
699,M,DLC,Department of Liquor Control,Downtown Rockville,Fulltime-Regular,Liquor Store Clerk II,12/15/2014,2014
700,M,DGS,Department of General Services,Facilities Major Programs,Fulltime-Regular,Senior Engineer,01/04/1999,1999
701,M,DLC,Department of Liquor Control,Administration,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,01/18/2010,2010
702,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,02/22/2016,2016
703,F,LIB,Department of Public Libraries,Cataloging and Preparation,Fulltime-Regular,Library Associate II,04/01/1985,1985
704,M,DTS,Department of Technology Services,Enterprise Services and Operations,Fulltime-Regular,Senior Information Technology Specialist,12/27/1994,1994
705,F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Public Safety Telephone Reporting Aide I,04/28/2008,2008
706,M,POL,Department of Police,PSB 3rd District Special Assignment Team,Fulltime-Regular,Police Officer III,03/04/2002,2002
707,M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012
708,F,LIB,Department of Public Libraries,Silver Spring Library,Fulltime-Regular,Librarian I,02/08/2016,2016
709,M,DLC,Department of Liquor Control,Muddy Branch,Fulltime-Regular,Liquor Store Clerk II,09/06/2001,2001
710,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,06/16/2008,2008
711,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,06/01/2010,2010
712,M,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Master Police Officer,01/16/2007,2007
713,F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,04/03/2006,2006
714,M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
715,M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permit Technician II,07/30/2012,2012
716,M,DTS,Department of Technology Services,COO Office - Project Mangement Office,Fulltime-Regular,Senior Information Technology Specialist,02/26/1990,1990
717,M,COR,Correction and Rehabilitation,DS MCCF Facilities Maintenance,Fulltime-Regular,Correctional Officer III (Corporal),04/17/2006,2006
718,F,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Firefighter/Rescuer III,06/01/2010,2010
719,F,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist II,11/23/2009,2009
720,M,DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Engineer III,11/12/2002,2002
721,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,07/06/1999,1999
722,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Master Firefighter/Rescuer,02/22/1994,1994
723,M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Captain,06/13/1988,1988
724,M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,02/27/2012,2012
725,M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Program Manager II,05/15/2006,2006
726,F,HHS,Department of Health and Human Services,School Health Services Center,Fulltime-Regular,Community Health Nurse II,02/22/1994,1994
727,M,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",Fulltime-Regular,Assistant County Attorney III,06/12/2006,2006
728,M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Manager III,10/31/2016,2016
729,M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Master Firefighter/Rescuer,12/13/2004,2004
730,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Highway Construction Field Supervisor,02/15/1994,1994
731,M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004
732,F,LIB,Department of Public Libraries,Aspen Hill Library,Parttime-Regular,Library Assistant I,11/09/1986,1986
733,F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Senior Executive Administrative Aide,10/18/2004,2004
734,M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
735,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/11/2005,2005
736,M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Information Technology Specialist III,11/07/1988,1988
737,F,DLC,Department of Liquor Control,Purchasing,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,05/03/2004,2004
738,M,LIB,Department of Public Libraries,Bethesda Library,Fulltime-Regular,Library Assistant II,04/10/2002,2002
739,F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,01/22/2007,2007
740,M,FRS,Fire and Rescue Services,Fleet Operations,Fulltime-Regular,Manager III,05/02/2016,2016
741,F,POL,Department of Police,ISB Criminal Investigations Division 5th District Investigative Section,Fulltime-Regular,Office Services Coordinator,09/21/1987,1987
742,F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Services Assistant,01/14/2002,2002
743,M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Program Specialist II,04/19/2004,2004
744,M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Master Firefighter/Rescuer,10/17/2005,2005
745,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/22/2001,2001
746,F,FIN,Department of Finance,Payroll,Fulltime-Regular,Manager III,04/05/2004,2004
747,F,LIB,Department of Public Libraries,Quince Orchard Library,Fulltime-Regular,Library Assistant I,10/01/2001,2001
748,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,03/03/1997,1997
749,F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Social Worker III,08/20/2001,2001
750,M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,08/08/2016,2016
751,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Principal Administrative Aide,09/05/2000,2000
752,F,DOT,Department of Transportation,Transit Safety and Instruction,Fulltime-Regular,Safety and Training Instructor,10/03/2016,2016
753,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Manager II,09/29/2009,2009
754,F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Office Services Coordinator,10/16/1991,1991
755,M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,04/16/2007,2007
756,F,HCA,Department of Housing and Community Affairs,Housing Landlord and Tenant Mediation,Fulltime-Regular,Investigator III,11/23/1987,1987
757,F,REC,Department of Recreation,Coffield Community Recreation Center,Fulltime-Regular,Recreation Specialist,01/30/2000,2000
758,F,HHS,Department of Health and Human Services,Home Energy Assistance Program,Fulltime-Regular,Income Assistance Program Specialist II,07/19/2010,2010
759,F,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Library Assistant I,04/18/2005,2005
760,M,FRS,Fire and Rescue Services,Second Battalion - Administration,Fulltime-Regular,Fire/Rescue Captain,09/03/2002,2002
761,M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,06/15/1992,1992
762,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,02/14/2011,2011
763,F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Administrative Specialist II,04/03/2006,2006
764,M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Fire/Rescue Captain,08/16/1999,1999
765,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
766,M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Sergeant,08/17/1998,1998
767,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,12/06/1993,1993
768,F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/08/2005,2005
769,M,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Parking Meter Mechanic,05/12/1997,1997
770,F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,09/29/1997,1997
771,M,COR,Correction and Rehabilitation,DS MCCF Case Managers Unit 2,Fulltime-Regular,Correctional Specialist IV,06/12/2000,2000
772,M,OIG,Office of the Inspector General,Director,Fulltime-Regular,Inspector General,04/26/2011,2011
773,F,FRS,Fire and Rescue Services,Fleet Support,Fulltime-Regular,Program Specialist II,03/07/1994,1994
774,M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,06/28/2004,2004
775,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/16/2006,2006
776,M,FRS,Fire and Rescue Services,Station 1,Fulltime-Regular,Fire/Rescue Captain,01/12/1998,1998
777,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
778,F,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Firefighter/Rescuer II,09/03/2002,2002
779,F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant,12/30/2013,2013
780,M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer II,02/27/2012,2012
781,F,REC,Department of Recreation,Southern Region,Fulltime-Regular,Manager III,02/26/1990,1990
782,M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
783,F,LIB,Department of Public Libraries,Kensington Park Library,Parttime-Regular,Librarian I,06/08/1987,1987
784,F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Technician,12/12/2016,2016
785,F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,12/02/2002,2002
786,M,HHS,Department of Health and Human Services,Medication Assisted Treatment - Clinical and Vocational Services,Fulltime-Regular,Community Services Aide III,08/17/1998,1998
787,M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),02/19/2008,2008
788,F,DTS,Department of Technology Services,EASD DCM Administration,Fulltime-Regular,Senior Information Technology Specialist,08/24/1987,1987
789,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
790,M,POL,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Officer III,07/18/2011,2011
791,F,LIB,Department of Public Libraries,Chevy Chase Library,Fulltime-Regular,Librarian I,01/10/1994,1994
792,F,LIB,Department of Public Libraries,Silver Spring Library,Fulltime-Regular,Senior Librarian,08/25/2014,2014
793,M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,10/11/1999,1999
794,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/19/1988,1988
